# id|once|calisan_sirasinda|ekip_sirasinda|sonra|yapilmayacak|geri_giris|saha_alanlari
AD-029|Tüp gazını ve depolama konumunu envantere alın.~Yangına maruz tüp için profesyonel müdahale planı hazırlayın.|Isınan veya yangındaki tüpten uzaklaşın.~Tüpü taşımayın, vanasına yaklaşmayın.~Güvenli yerden 112'ye gaz türü ve tüp konumunu bildirin.|Olay yöneticisi patlama/parça etkisine göre alanı kapatsın.~Teknik ekip yakındaki beslemeyi yalnız güvenli uzaktan ayırsın.~Tüp tedarikçisi ve itfaiyeye maruziyet süresi ve gaz bilgisini aktarın.|Tüpün sonradan tehlike oluşturabileceğini dikkate alın.~Tüpün taşınma/bertarafını uzman talimatına bırakın.|Özellikle ısınmış asetilen tüpünü hareket ettirmeyin.~Tüpü çalışanların doğaçlama soğutma denemesine bırakmayın.|İtfaiye ve tüp uzmanı güvenli taşıma/erişim izni verdiğinde.|gaz_turu~tup_konumu~tedarikci_irtibat~dislama_alani
AD-030|Elektrik ayırma ve yetkili kişi bilgisini hazırlayın.~İlkyardımcı ve varsa OED/AED konumunu kaydedin.|Enerji kesilmeden yaralıya dokunmayın.~Güvenli alandan yardım ve 112 çağrısı yapın.~Çevredeki kişileri iletken, su ve temas alanından uzak tutun.|Elektrik yetkilisi tehlikeli alana girmeden uygun beslemeyi ayırsın.~İlkyardımcı elektrik güvenliği sağlandıktan sonra eğitimine ve 112 yönlendirmesine göre müdahale etsin.~Varsa OED/AED güvenli ortama getirilsin; cihaz yönlendirmesi ve eğitim sınırı izlenerek sağlık ekibi karşılansın.|Etkilenen kişi tıbbi değerlendirmeye yönlendirilsin.~Arızalı tesisat/ekipmanı hizmet dışı tutun.|Yaralıyı çıplak elle çekmeyin.~Yüksek gerilim bölgesine güvenli sınır teyit edilmeden yaklaşmayın.|Yetkili elektrik incelemesi sonrası; yaralının işe dönüşü sağlık kararıdır.|guvenli_ayirici~elektrik_yetkilisi~ilkyardimci~OED_yeri
AD-031|Anahtarlama alanı ve ark riskine özgü iş planını hazırlayın.~Güvenli dış enerji kesme ve yanık acil yanıtını belirleyin.|Ark sonrasında panodan ve kopan parçalardan uzaklaşın.~Enerjili olabilecek ekipman veya yaralıya dokunmayın.~112'ye ark olayı, yanık ve kişi konumunu bildirin.|Yetkili elektrik ekibi güvenli izolasyonu teyit etsin.~İlkyardımcı güvenli alanda yanık/yaralanma desteğini eğitim sınırında versin.~Koruma ekibi duman, parça ve elektrik etki alanına erişimi kapatsın.|Ekipmanı tekrar enerjilendirmeden arıza ve koruma incelemesi yapın.~Müdahale ve kullanılan kişisel korumayı teknik olay kaydına alın.|Kapağı açarak arıza kaynağını aramayın.~Koruma attı diye tüm enerjinin kesildiğini varsaymayın.|Yetkili elektrik incelemesi ve güvenli yeniden besleme kararıyla.|pano_kodu~uzak_izolasyon~elektrik_yetkilisi~ilkyardimci
AD-032|Makine acil duruş ve tüm enerji ayırma noktalarını tanıyın.~Sıkışmada yetkili kurtarma/servis irtibatını hazırlayın.|Güvenliyse acil duruşu kullanıp alarm verin.~Makineyi ters yönde çalıştırarak kişiyi çıkarmaya uğraşmayın.~112'ye makine, sıkışan kişi ve konum bilgisini verin.|Yetkili teknik görevli elektrik, basınç ve yerçekimi enerjisini izole etsin.~Kurtarma ekibi parçaların stabilitesini güvenceye almadan söküm yapmasın.~İlkyardımcı güvenli erişim sağlandığında eğitimine göre desteklesin ve sağlık ekibini yönlendirsin.|Makineyi mühendislik incelemesine kadar hizmet dışı tutun.~Koruyucu ve güvenli çalışma yöntemini yeniden değerlendirin.|Yaralıyı kuvvetle çekmeyin.~Yalnız acil duruşu tam enerji izolasyonu saymayın.|Teknik arıza/koruma incelemesi tamamlandıktan sonra.|makine_kodu~acil_durus~enerji_noktalari~servis_irtibat~kurtarma_erisim
AD-033|Yük, kaldırma ve geçici destek bilgisini hazırlayın.~Yük düşmesinde alan kapatma ve uzman kurtarma planı yapın.|Yükün yeni hareket hattından uzaklaşın.~Yaralıyı çıkarmak için yükü elle veya gelişigüzel araçla kaldırmayın.~112'ye yük türü, kişi konumu ve hareket tehlikesini bildirin.|Kaldırma yetkilisi ekipmanı güvenli duruma alıp yükün ilave hareketini önlesin.~Uzman kurtarma ekibi yükü tasarlanmış destek ve kaldırmayla emniyete alsın.~İlkyardım ekibi güvenli erişim sağlanana kadar dışarıda sağlık ekibiyle koordine olsun.|Yük ve kaldırma ekipmanını inceleme için ayırın.~Bağlama, kapasite ve çalışma alanı planını düzeltin.|Askıda veya kararsız yük altına girmeyin.~Yaralıya erişmek için desteği plansız sökmeyin.|Yük stabilitesi ve kaldırma sistemi yetkin incelemeden geçince.|yuk_turu_agirligi~kaldirma_yetkilisi~guvenli_destek~yarali_konumu
AD-034|Yüksekte işin düşme ve kurtarma planını hazırlayın.~112 erişim güzergâhını ve ilkyardımcıyı belirleyin.|Düşme alanını ve üstten gelebilecek cisimleri gözleyerek güvenli kalın.~Yaralıyı ani tehlike yoksa gereksiz hareket ettirmeyin.~İlkyardımcı ve 112'yi çağırıp düşme yüksekliği/konumun bilinen bilgisini aktarın.|Görevli üst seviyedeki işi durdursun ve ikinci düşmeyi önlesin.~İlkyardımcı eğitimine ve 112 yönlendirmesine göre güvenli müdahale etsin.~Kurtarma ekibi yaralıya erişimi ve sağlık ekibinin gelişini koordine etsin.|Düşüşte kullanılan koruyucu ve ankrajı hizmet dışı incelemeye alın.~Yüksekte çalışma yöntemini gözden geçirin.|Yaralıyı yürütmeye veya zorla kaldırmaya çalışmayın.~İkinci kişiyi korunmasız kenara göndermeyin.|Üst çalışma alanı ve düşme koruması teknik olarak güvenli bulununca.|dusme_alani~ilkyardimci~ambulans_erisim~ust_seviye_sorumlusu
AD-035|İşe özgü hızlı askıdan kurtarma düzenini önceden hazırlayın.~Kurtarma donanımını ve eğitimli asıl/yedek kişileri belirleyin.|Askıda kalan kişi bilinci açıksa yardım çağırıp eğitiminde öğrendiği güvenli hareketleri uygulasın.~Çevredekiler ikinci düşme riski almadan alarm versin.~112'ye kişinin askıda olduğu ve erişim yerini bildirin.|Eğitimli kurtarma ekibi önceden planlanmış uygun sistemle gecikmeden kurtarma başlatsın.~Görevli ankraj ve çevre stabilitesini koruyup yetkisiz yaklaşmayı engellesin.~İlkyardımcı kurtarılan kişiyi eğitim ve sağlık yönlendirmesine göre değerlendirsin.|Kişiyi sağlık değerlendirmesine yönlendirin.~Düşüş ve kurtarmada kullanılan ekipmanı inceleme için ayırın.|Askıdaki kişinin kemerini veya bağlantısını plansız kesmeyin.~Genel itfaiye çağrısını önceden hazırlanmış kurtarma düzeninin yerine koymayın.|Ankraj/koruma sistemi ve çalışma yönteminin yetkin kontrolü sonrası.|kurtarma_plani~kurtarma_ekibi~ankraj~kurtarma_donanimi~erisim_yolu
AD-036|Kapalı alan giriş izni, gözcü ve girişsiz kurtarma düzenini hazırlayın.~Uzman ekibe verilecek atmosfer/izolasyon bilgilerini belirleyin.|Yanıt alınamıyorsa dışarıdan alarm verin.~İçerideki kişiyi kurtarmak için kontrolsüz giriş yapmayın.~112'ye kapalı alan ve atmosfer tehlikesi olduğunu açıkça bildirin.|Gözcü kişi sayısı ve son iletişimi kaydedip erişimi kapatsın.~Eğitimli ekip yalnız planlanmış güvenli girişsiz kurtarmayı uygulasın.~Giriş gerektiren kurtarmayı uygun solunum ve kurtarma donanımlı uzman ekip yürütürken teknik ekip beslemeleri izole etsin.|Etkilenenleri tıbbi değerlendirmeye alın.~Giriş izni, ölçüm ve izolasyon koşullarını olay sonrası yeniden kurun.|Nefes tutarak veya filtreli maskeye güvenerek girmeyin.~Gözcüyü içeride arama için alan başından ayırmayın.|Atmosfer, izolasyon ve yeni giriş izni koşulları uzman tarafından sağlanınca.|alan_kodu~giris_izni~gozcu~atmosfer_bilgisi~giris_siz_kurtarma
AD-037|Kazı destek ve çevre yük planını sahada bulundurun.~Göçükte profesyonel kurtarma erişimini belirleyin.|Yeni göçme tehlikesinden uzaklaşıp kazı çevresini uyarın.~Kurtarma için desteksiz kazıya inmeyin.~112'ye kazı konumu, derinlik ve son bilinen kişi yerini bildirin.|Saha sorumlusu araç, titreşim ve ilave yükleri güvenli biçimde durdursun.~Koruma ekibi kazı kenarını ve komşu yük alanını kapatsın.~Uzman kurtarma ekibi destek ve zemin güvenliğiyle müdahale etsin; ilkyardımcı güvenli bölgede hazır olsun.|Zemin ve iksayı yetkin teknik kişiye yeniden değerlendirin.~Yağış, hat ve yük değişikliklerini olay kaydına alın.|Eksik kişiyi bulmak için iş makinesiyle plansız kazmayın.~Kazı kenarında kalabalık ve ağır yük oluşturmayın.|Jeoteknik/destek incelemesi ve güvenli çalışma izni sonrası.|kazi_plani~kisi_sayisi~hat_bilgisi~uzman_erisim~kenar_siniri
AD-038|Taşıyıcı değişiklik ve geçici destek bilgilerini kayıtlı tutun.~Şüpheli hasarda alternatif çıkışı belirleyin.|Ani çatlama, eğilme veya parça düşmesinde alanı terk edin.~Hasarlı bölümden geçmeyin; çevredekileri güvenli yoldan uyarın.~Güvenli noktadan olay ve içeride kalan kişi bilgisini 112'ye bildirin.|Olay yöneticisi yapı etki alanını ve komşu kullanım bölgelerini boşaltsın.~Teknik görevli enerji ve hatları yalnız güvenli dış noktadan değerlendirsin.~Yapı uzmanı ve kurtarma ekibine plan, yük ve hasar bilgisini verin.|Hasar incelemesini yetkin yapı uzmanına yaptırın.~Onarım ve destek planı olmadan bölgeyi kullanıma açmayın.|Hasarı görmek için yapıya geri girmeyin.~Taşıyıcı veya geçici desteği doğaçlama değiştirmeyin.|Yetkin yapı güvenliği kararı ve ilgili tesisat kontrolleri sonrası.|yapi_plani~gecici_destek~alternatif_cikis~etki_alani
AD-039|Devrilebilecek eşyaları güvenli sabitleyin.~Sarsıntıda korunma noktalarını ve sonrasında güvenli çıkışı tanıyın.|Bina içindeyseniz uygun güvenli noktada Çök–Kapan–Tutun uygulayın; baş-boynu koruyun.~Sarsıntı sırasında merdivene koşmayın ve asansör kullanmayın; pencere ve devrilebilir eşyalardan uzak durun.~Sarsıntı bitince güvenliyse belirlenmiş çıkıştan ayrılıp yapı/parça düşme alanı dışındaki toplanma yerine gidin.|Görevliler sarsıntı sırasında kendi güvenliğini korusun; hareket sona erince tahliyeyi ve yardım ihtiyacını koordine etsin.~Teknik görevli gaz/elektrik hasarını güvenli planda değerlendirsin; arızalı alana girmesin.~Sayım sorumlusu eksik ve yaralı bilgisini toplasın; gerekli acil yardımı 112 üzerinden yönlendirsin.|Artçı ve hasar ihtimaline karşı binalardan uzak bekleyin.~Geri giriş için yapı ve tesisatın yetkili değerlendirmesini bekleyin.|Sarsıntı sırasında pencereden atlamayın veya merdivene koşmayın.~Dışarıdaysanız bina, direk ve hat altında beklemeyin.|Sarsıntının bitmesi tek başına izin değildir; olay yöneticisi ve gerekli teknik kontroller sonrası.|korunma_noktalari~guvenli_cikis~toplanma~yardim_duzeni~tesisat_kesme
AD-040|Deprem sonrası inceleme ve alan kapatma yetkilisini belirleyin.~Plan ve kritik tesisat bilgilerini bina dışında erişilebilir tutun.|Hasarlı tesise eşyalar için dönmeyin.~Artçılarda yapıdan ve düşebilecek parçadan uzaklaşın.~Gaz kokusu, kopuk hat ve görünür hasarı güvenli noktadan bildirin.|Olay yöneticisi geri girişleri kontrollü olarak kapatsın.~Yetkin yapı ve tesisat uzmanları erişim sınırları içinde değerlendirme yapsın.~Kurtarma ekiplerine eksik kişi ve son konum bilgisini teslim edin.|Teknik kararları ve açılan/kapanan alanları kayıt altına alın.~Yeniden kullanıma başlamadan kaçış, alarm ve enerji sistemlerini kontrol edin.|Yetkili izin olmadan binaya girmeyin.~Sadece dış görünüşe bakarak güvenli kararı vermeyin.|Yapı güvenliği, gaz/elektrik ve yangın koruması kontrolleriyle alan bazlı izin verildiğinde.|yapi_inceleme_yetkilisi~hasar_kaydi~izinli_alanlar~tesisat_durumu
AD-041|Taşkın uyarısı, yüksek güvenli bölge ve alternatif yolları belirleyin.~Bodrumdaki elektrik ve kimyasal risklerini önceden değerlendirin.|Su yükselmesi veya tahliye uyarısında erken güvenli yüksek alana geçin.~Suya girmeyin ve akıntılı yolu yürüyerek/araçla geçmeye çalışmayın.~Mahsur kişi ve konumu güvenli noktadan 112'ye bildirin.|Olay yöneticisi bodrum ve alçak hacimleri kapatsın.~Elektrik yetkilisi sadece kuru ve güvenli uzaktan ayırma noktasını kullansın.~Görevliler sayım ve dış kurtarma erişimini koordine etsin.|Su çekilince elektrik, yapı ve kirlenme incelemesini yaptırın.~Kimyasal veya atıksu karışmış alanı uygun temizleme planına alın.|Elektrikli ekipmana ıslak halde dokunmayın.~Su çekilmesini güvenli geri giriş kanıtı saymayın.|Yapı, elektrik ve kirlenme yönünden teknik/sağlık kontrolü sonrası.|resmi_taskin_uyarisi~yuksek_guvenli_alan~uzak_ayirici~bodrumlar
AD-042|Rüzgârda durdurulacak kaldırma/yüksekte işleri belirleyin.~Sağlam kapalı korunma ve düşebilecek eşya alanlarını tanıyın.|Rüzgâr şiddetlenince açık saha ve yüksekte işi bırakın.~Gevşek çatı, ağaç ve askılı yüklerden uzak sağlam alana geçin.~Eksik kişi veya düşen parçayı güvenli noktadan bildirin.|Görevli kaldırma ve dış saha ekipmanını üretici hava sınırında güvenli duruşa alsın.~Koruma ekibi kırılabilecek cam/kaplama çevresini kapatsın.~Olay yöneticisi resmî hava uyarısı ve tesise özgü koşullara göre bekleme/tahliyeyi yönetsin.|Dış saha ekipmanını, çatıyı ve yolları yetkin kişiye kontrol ettirin.~Rüzgâr sonrası gevşek yükleri güvenli yöntemle düzeltin.|Açık alanda malzeme tutmak için riske girmeyin.~Hava sınırlarını üretim hedefi için aşmayın.|Hava koşulu ve yapı/ekipman kontrolü birlikte uygun bulunduğunda.|ruzgar_sinirlari~saglam_korunma~askili_ekipman~kontrol_sorumlusu
AD-043|Açık saha için yıldırım uyarısı ve güvenli kapalı alanı belirleyin.~İşi durdurma/yeniden başlatma kararını görevliye bağlayın.|Yıldırım uyarısında açık saha ve yüksekte işi durdurun.~Sağlam kapalı yapı veya uygun kapalı araç gibi belirlenmiş güvenli yere gidin.~Tek ağaç, metal direk, su ve açık alanlardan uzak durun.|Saha sorumlusu ekiplerin korunma noktasına ulaştığını kontrol etsin.~Elektrik/proses görevli ekipmanı yalnız güvenli zaman ve yöntemle bıraksın.~Yaralı varsa 112 ve ilkyardım desteği güvenli ortamda sağlansın.|Yıldırım etkilenmiş tesisat ve ekipmanı teknik incelemeye alın.~İşin yeniden başlamasını hava uyarı planına göre yönetin.|Açık alanda yalnız ağacın altına sığınmayın.~Yıldırım tehlikesi sürerken ekipman toplamak için dışarı çıkmayın.|Tesise özgü hava güvenliği kararı ve gerekli elektrik kontrolleri sonrası.|yildirim_uyarisi~korunma_yeri~saha_sayimi~yeniden_baslama_yetkilisi
AD-044|Su, serinleme ve yeni çalışana uyum düzeni sağlayın.~Isı hastalığı belirtileri ve ilkyardımcıya ulaşımı öğretin.|Ağır halsizlik, bilinç değişikliği veya bayılmayı gecikmeden bildirin.~Güvenliyse kişiyi serin alana alın ve ilkyardımcı/112 çağırın.~Kişiyi yalnız bırakmayın; bilinci bozuk kişiye ağızdan sıvı vermeyin.|İlkyardımcı eğitimine ve 112 yönlendirmesine göre serinletme ve destek uygulasın.~Görevli aynı sıcaklığa maruz diğer çalışanları serin güvenli alana yönlendirsin.~Olay yöneticisi ısı kaynağı ve çalışma düzenini duruş/azaltma yönünden değerlendirsin.|Kişinin işe dönüşünü sağlık değerlendirmesine bağlayın.~Isıl yük, mola ve su düzenini olaydan sonra düzeltin.|Belirtileri yalnız yorgunluk diye geçiştirmeyin.~Bilinç değişikliğinde kendi başına araç kullanmasına izin vermeyin.|Çalışma koşulları yeniden değerlendirilince; kişi için sağlık yönlendirmesi esastır.|serin_alan~su_noktasi~ilkyardimci~112_erisim~isi_kaynagi
AD-045|Soğuk ortam çalışma ve kontrol aralıklarını belirleyin.~Isınma yeri ve haberleşme kaybı yanıtını hazırlayın.|Titreme, uyuşma veya bilinç değişikliğini bildirin.~Güvenliyse kişiyi soğuktan korunan alana alın.~İlkyardımcıyı çağırın; ağır etkilenme veya mahsur kalmada 112'ye konumu verin.|İlkyardımcı eğitimine göre koruma ve ısıtma desteği sağlasın.~Görevli diğer kişilerin yerini kontrol edip soğuk maruziyetini durdursun.~Kurtarma gerektiren noktada uzman ekiple güvenli erişim kurulsun.|Islak giysi ve ekipman sorununun nedenini giderin.~İşe dönüşü sağlık değerlendirmesine göre planlayın.|Donmuş bölgeyi sertçe ovuşturmayın.~Bilinci bozuk kişiye yiyecek/içecek vermeyin.|Ortam ve erişim koşulları güvenli; kişi sağlık yönlendirmesine uygun olduğunda.|isinma_yeri~haberlesme~ilkyardimci~mahsur_erisim
AD-046|Şev hareket işaretleri ve tahliye yönünü belirleyin.~Jeoteknik uyarı ve güvenli sınırı sahada gösterin.|Çatlak veya hareket alarmında etki alanından uzaklaşın.~Düşen bloğu görmek için şev altına yaklaşmayın.~Kişi ve konum bilgisini saha sorumlusuna güvenli yerden bildirin.|Teknik sorumlu titreşim, yükleme ve yaklaşan araçları durdursun.~Koruma ekibi etki alanını ve komşu yolları kapatsın.~Eksik kişi varsa profesyonel kurtarma ve jeoteknik ekibi birlikte yönlendirin.|Şevi yetkin uzman yeniden değerlendirsin.~Yeni destek ve yaklaşma sınırı olmadan işi başlatmayın.|Göçük bölgesine plansız kurtarma için girmeyin.~Şev kenarına kalabalık veya araç yığmayın.|Jeoteknik değerlendirme ve güncellenmiş güvenli çalışma planıyla.|sev_siniri~uyari_isaretleri~tahliye_yonu~jeoteknik_yetkili
AD-047|Asansör acil haberleşme ve servis irtibatını görünür tutun.~Yetkili kurtarma prosedürünü bina sorumlusuyla belirleyin.|Kabin içindeyseniz alarm/haberleşme düğmesini kullanıp konumunuzu bildirin.~Kapıyı zorlamayın ve kabin açıklığından çıkmaya çalışmayın.~Sağlık sorunu veya yangın/duman varsa bunu haberleşme görevlisine ve 112'ye iletin.|Görevli kabinle iletişimi sürdürüp yetkili asansör servisini çağırsın.~Koruma ekibi kat kapısı ve kuyu erişimini kapatsın.~Kurtarmayı yalnız yetkili prosedürle eğitimli teknik ekip yapsın.|Asansörü arıza giderilip kontrol edilene kadar hizmet dışı tutun.~Kabin alarmı ve iletişim işlevini test ettirin.|Kat seviyesinde değilken dışarı atlamayın.~Eğitimsiz kişi fren/kapı mekanizmasına müdahale etmesin.|Yetkili asansör servisinin güvenli kullanım kararı sonrası.|asansor_kodu~kabin_alarm~servis_telefonu~bina_sorumlusu
AD-048|İç açma ve yardım alarmını gerçek çalışma koşulunda sınayın.~Soğuk depo giriş/çıkış haberleşmesini belirleyin.|İçerideyseniz iç açma ve alarmı kullanın; yerinizi bildirin.~Kapıya zarar vererek yeni sıkışma riski oluşturmayın.~Dışarıdaki kişi içeride kişi kaldığını bildirip ilkyardımcı/112 gereksinimini değerlendirsin.|Görevli güvenli dış açma yöntemini uygulayıp içerideki kişiyi çıkarsın.~Teknik ekip otomatik kapanma ve soğutma tehlikesini güvenli şekilde yönetsin.~İlkyardımcı soğuk etkilenmesini eğitimine ve sağlık yönlendirmesine göre değerlendirsin.|Kapı ve alarm arızasını giderin.~İçeride kalma nedenini giriş/çıkış düzeniyle birlikte inceleyin.|İçeride kalan kişiyi yalnız ve iletişimsiz bırakmayın.~Kilit arızası giderilmeden depoyu olağan kullanıma açmayın.|Kapı/iç açma/alarm işlevi teknik olarak test edilince.|ic_acma~alarm~dis_acma~depo_sorumlusu~isinma_yeri
AD-049|Kritik yük, UPS ve jeneratör önceliklerini belirleyin.~Kararma durumunda güvenli duruş ve kaçış planını hazırlayın.|Makine veya karanlık alanda güvenli duruma geçip çevrenizi kontrol edin.~Acil aydınlatma yetersizse belirlenmiş güvenli çıkışı kullanın.~Mahsur kişi ve kesintiden etkilenen kritik işi bildirin.|Teknik ekip güvenli duruş ve yedek beslemeyi yük önceliğine göre yönetsin.~Görevliler asansör, kapalı alan ve yaşam destekli hizmetleri kontrol etsin.~Olay yöneticisi yangın/alarm/iletişim kaybına göre işi kısıtlayıp tahliyeyi değerlendirsin.|Enerji gelince otomatik hareket riskini kontrol edin.~Yeniden başlatmayı alan sorumlularının kontrolüyle kademeli yapın.|Jeneratörü kapalı hacimde çalıştırmayın.~Enerji döndüğünde tüm makineleri kontrolsüz başlatmayın.|Enerji, güvenlik sistemleri ve kontrollü başlatma koşulları sağlandığında.|kritik_yukler~UPS_jenerator~acil_aydinlatma~mahsur_kisi_kontrolu
AD-050|Kritik soğutma akışı ve yedek sistemleri tanımlayın.~Prosese özgü güvenli duruş sırasını onaylı talimatta tutun.|Soğutma alarmını kontrol odasına gecikmeden bildirin.~Isınan ekipman veya reaksiyon bölgesinden uzaklaşın.~Üreticinin/prosesin talimatı dışında vana, su veya enerjiyle müdahale etmeyin.|Yetkili operatör besleme ve ısıtmayı onaylı güvenli sırayla yönetsin.~Proses uzmanı biriken ısı ve basınca göre tahliye sınırını belirlesin.~Olay yöneticisi dış yardım ve komşu alan bilgilendirmesini başlatsın.|Soğutma nedeni ve koruma işlevini teknik inceleyin.~Yeniden başlatmayı sıcaklık/basınç kararlılığı ve onaylı plana bağlayın.|Sıcak sisteme doğaçlama ani su vermeyin.~Koruma sistemini atlayarak üretime devam etmeyin.|Proses uzmanının kararlılık ve yedek koruma değerlendirmesiyle.|sogutma_sistemi~proses_durus_talimati~sicaklik_basinc~proses_yetkilisi
AD-051|Havalandırmaya bağlı tehlikeli işleri ve alarmı belirleyin.~Hava kaybında duruş/tahliye sınırını hazırlayın.|Havalandırma alarmında zararlı madde oluşturan işi bırakın.~Güvenli temiz alana çıkın; koku veya görünür toza göre beklemeyin.~Alan sorumlusuna kesinti ve içerideki kişi bilgisini bildirin.|Teknik görevli tehlikeli üretimi güvenli prosedürle durdursun.~Koruma ekibi etkilenmiş hacimlere erişimi kapatsın.~Yetkin ekip hava performansı ve gerekiyorsa atmosfer ölçümünü yapsın.|Filtre, fan, kanal ve kontrol arızasını giderin.~Emiş etkinliğini gerçek çalışma koşulunda yeniden kontrol edin.|Fan sesi gelmesini yeterli hava performansı saymayın.~Ölçüm gerektiren hacme kontrolsüz girmeyin.|Hava performansı ve gerekli atmosfer koşulları doğrulanınca.|havalandirma_alarmi~tehlikeli_proses~temiz_alan~olcum_ihtiyaci
AD-052|İlkyardımcı, ilk yardım malzemesi ve varsa OED/AED yerini görünür tutun.~112 için açık adres, giriş ve karşılama noktasını hazırlayın.|Olay yerinin güvenliğini sağlayıp ilkyardımcıyı çağırın.~Bir kişiyi 112'yi aramak, diğerini varsa OED/AED ve malzemeyi getirmek için görevlendirin.~Kişiyi yalnız bırakmayın; 112'nin talimatlarını izleyin ve gereksiz hareket ettirmeyin.|İlkyardımcı eğitimine uygun bilinç/solunum değerlendirmesi ve gerekli desteği sağlasın.~OED/AED varsa cihazın yönlendirmesi ve eğitim sınırında kullanılsın; cihaz yoksa getirme çabası yardımı geciktirmesin.~Görevli ambulansı girişte karşılayıp sağlık ekibine olay ve yapılan işlemleri aktarsın.|Sağlık ekibine güvenli devir ve olay kaydı yapın.~Kullanılan malzemeyi tamamlayıp yardım erişimindeki gecikmeleri düzeltin.|Bilinçsiz kişiye ağızdan yiyecek, içecek veya ilaç vermeyin.~Eğitiminiz dışında tıbbi işlem veya teşhis yapmayın.|Ortam tehlikesi yoksa genel bina tahliyesi gerekmez; kişinin işe dönüşünü sağlık yetkilisi belirler.|ilkyardimci~ilkyardim_kiti~OED_varsa_yeri~acik_adres~ambulans_karsilama
AD-053|Çoklu yaralı için sağlık ekibi erişim ve toplanma alanını belirleyin.~Yaralı sayımı ve bilgi iletimi görevlerini planlayın.|İkinci kazaya maruz kalmadan kendinizi güvenli alana alın.~112'ye birden fazla yaralı olduğunu, yaklaşık sayıyı ve devam eden tehlikeyi bildirin.~Yaralıları gereksiz yere taşımayın; profesyonel yönlendirmeyi bekleyin.|Olay yöneticisi tehlikeli alanı ayırıp sağlık ekiplerine erişim açsın.~İlkyardımcılar eğitim ve 112 yönlendirmesiyle destek versin; tıbbi triyajı uzman sağlık ekibi yönetsin.~Koruma ekibi yaralı/eksik kişi bilgisini tek noktada toplasın.|Sağlık kurumuna sevk bilgilerini yetkili ve gizli kayıtta tutun.~Ekipman ve alanı inceleme tamamlanmadan yeniden açmayın.|Eğitimsiz kişilere tıbbi triyaj görevi vermeyin.~Ambulans girişini meraklı kalabalıkla kapatmayın.|Olayın asıl kaynağı teknik olarak güvenli bulununca.|112_adres~yarali_toplanma~ambulans_erisim~sayim_sorumlusu
AD-054|Kesici atık ve maruziyet sonrası sağlık başvuru yolunu belirleyin.~Uygun el yıkama, göz yıkama ve koruyucuyu erişilebilir tutun.|İşlemi bırakıp maruziyeti gecikmeden bildirin.~Eğitimdeki uygun ilk temizleme yöntemini uygulayın; göz teması varsa ilgili yıkama düzenini kullanın.~Sağlık değerlendirmesine hızla başvurun; kaynak bilgisini gizlilikle yetkili birime iletin.|Görevli kontamine kesici veya materyali güvenli atık düzenine alsın.~Sağlık birimi maruziyet sonrası değerlendirme ve takip gereksinimini belirlesin.~Sorumlu alanda ikinci maruziyeti önleyip uygun temizliği yönetsin.|Takibi sağlık biriminin planına göre sürdürün.~Kesici ve işlem tekniği nedenini inceleyin.|Yarayı sıkmayın veya aşındırıcı kimyasal sürmeyin.~Kişisel sağlık bilgilerini genel risk raporuna yazmayın.|Kontaminasyon temizlenip alan güvenli bulunduğunda; kişi için sağlık yönlendirmesi esastır.|maruziyet_basvuru_yolu~yikama~kesici_atik~saglik_irtibat
AD-055|Gıda tedarik, menü ve tüketim kayıtlarını erişilebilir tutun.~Toplu rahatsızlanma bildirim ve sağlık yönlendirmesini belirleyin.|Benzer belirtileri ve ortak tüketimi sorumluya bildirin.~Şüpheli yiyecek/içecek tüketimini durdurun.~Ağır belirtilerde 112'ye etkilenen sayıyı ve durumu iletin.|Sorumlu şüpheli gıdayı imha etmeden güvenli ayırsın ve kayıtları korusun.~Sağlık ekibi etkilenenleri değerlendirip yetkili sağlık otoritesiyle koordine olsun.~Gıda sorumlusu hazırlama, saklama ve servis noktalarını kontaminasyon yönünden inceletsin.|Yetkili numune/inceleme sürecine destek olun.~Kaynak giderilmeden ilgili gıdayı veya mutfak sürecini yeniden açmayın.|Belirtileri bastırmak için gelişigüzel ilaç vermeyin.~Şüpheli ürünü kayıt tutulmadan atmayın.|Sağlık/gıda yetkilisinin kaynak ve hijyen değerlendirmesi sonrası.|menu_tuketim_kaydi~tedarikci~saglik_irtibat~supheli_urun_yeri
AD-056|Sağlık otoritesi iletişimi ve işyeri bilgilendirme düzenini kurun.~Havalandırma, hijyen ve hastalık bildirimini planlayın.|İlişkili hastalık veya resmî uyarıyı yetkili sorumluya bildirin.~Belirti gösteren kişi için mahremiyeti koruyan sağlık yönlendirmesini izleyin.~İşyerinin bulaş azaltma tedbirlerine uyun; doğrulanmamış kişisel bilgileri paylaşmayın.|İşyeri hekimi/yetkili sağlık birimi risk ve takip gereksinimini değerlendirsin.~İşveren havalandırma, temizlik ve çalışma düzenini sağlık önerisine göre uyarlasın.~Olay koordinatörü doğrulanmış bilgiyi çalışanlara anlaşılır biçimde iletsin.|Tedbirleri sağlık otoritesi yönlendirmesiyle güncelleyin.~Kişisel sağlık kayıtlarını genel rapordan ayrı ve yetkili erişimde tutun.|Her hastalık bildirimi için otomatik bina tahliyesi başlatmayın.~Kişileri tanı veya söylentiye göre damgalamayın.|Hastalık türüne özgü sağlık otoritesi ve işyeri hekimi yönlendirmesine göre.|saglik_irtibat~bilgilendirme_kanali~havalandirma~mahrem_basvuru
