# id|olasi_sonuc|ilk_onlem_seviyesi|ikinci_onlem_seviyesi|ikinci_onlem
R-13-07|Düşme ve acil durumda içeride kalma|engineering|administrative|Kaçış merdivenlerini kazı ilerleyişi ve çalışma noktasına göre taşıyın; çıkışların malzemeyle kapanmasını önleyin.
R-13-08|Komşu yapıda oturma, çökme ve çoklu yaralanma|engineering|administrative|Ölçülebilir hareket izleme ve işi durdurma eşikleri belirleyin; gözlenen çatlak veya deplasmanı tasarım sorumlusuna iletin.
R-13-09|Toksik maruziyet, kimyasal yanık ve patlama|administrative|engineering|Bilinmeyen kabı açmayın veya taşımayın; alanı ayırıp çevre ve iş güvenliği sorumlularıyla numune ve bertaraf planlayın.
R-13-10|Derin boşluğa düşme ve ölüm|engineering|administrative|Kapakların yerinden çıkmasını önleyin; sondaj çevresinde gece görüşünü ve çalışma dışı erişim kontrolünü sağlayın.
R-13-11|Kaya düşmesiyle ezilme ve ölüm|engineering|administrative|Ayna incelemesini ilerleme döngüsüne bağlayın; tahkimat tamamlanmadan korunmasız bölgeye personel geçirmeyin.
R-13-12|Enerjili veya basınçlı hatta temasla ölüm|administrative|engineering|Güzergâhı yerinde tespit ve doğrulama kazılarıyla destekleyin; delgi başı konum takibini iş planına dahil edin.
R-14-01|Yapı altında kalma ve çoklu ölüm|engineering|administrative|Yıkım planından sapmayı yetkisiz saha kararına bırakmayın; yük yolları değiştiğinde teknik sorumlu yeniden değerlendirsin.
R-14-02|Elektrik çarpması, gaz yangını ve su baskını|engineering|administrative|Ayırma teyitlerini tesisat türüne göre kayıt altına alın; söküm sırasında bulunan kayıt dışı hatlarda işi durdurun.
R-14-03|Asbest lifine maruziyetle uzun dönem akciğer hastalığı ve kanser|administrative|engineering|Asbestli alanı diğer faaliyetlerden ayırın; lif yayılımını ve atık geçişini uzman söküm planına göre kontrol edin.
R-14-04|Kurşun maruziyetine bağlı sistemik zehirlenme|substitution|administrative|Tozun yeme içme ve dinlenme alanına taşınmasını önleyin; kişisel hijyen ve maruziyet değerlendirmesini işyeri hekimiyle planlayın.
R-14-05|Düşen molozla baş yaralanması ve ölüm|engineering|administrative|Düşürme alanını yalnız bantla değil uygun fiziksel sınırla ayırın; alt kattaki ve komşu faaliyetleri duruş planına bağlayın.
R-14-06|Döşeme çökmesi ve çoklu ezilme|engineering|administrative|Atık yükleme noktalarını ve izin verilen yığılmayı iş planında belirtin; birikimi gözle tahmin yerine planlı sevkiyatla sınırlandırın.
R-14-07|Boşluktan düşme ve ağır yaralanma|engineering|administrative|Döşeme ve duvar açıldıkça koruma kapsamını güncelleyin; sökülmüş bariyer yerine kalıcı güvenli erişim tamamlanmadan alanı açmayın.
R-14-08|Fırlayan eleman ve ani çökme nedeniyle ölüm|engineering|administrative|Öngerme kablolarını sıradan donatı kabul etmeyin; kesim noktası ve serbestleşme yönünü yapı uzmanına belirletin.
R-14-09|Solunabilir toza bağlı akciğer hastalığı|engineering|administrative|Islak yöntemin elektrik ve kayma etkilerini birlikte yönetin; temizlikte basınçlı hava ve kuru süpürme kullanmayın.
R-14-10|Makine devrilmesi ve operatör ölümü|engineering|administrative|Zemin, bom erişimi ve çalışma sınırını üretici yük diyagramına göre doğrulayın; moloz üzerinde plansız manevrayı önleyin.
R-14-11|Donatı saplanması, iç organ yaralanması ve ölüm|elimination|engineering|Koruyucunun yalnız uç örtüsü değil düşme etkisini karşılayan saplanma önleme sistemi olmasını sağlayın.
R-14-12|Komşu alanda parça düşmesi ve yapı hasarıyla yaralanma|engineering|administrative|Kullanımdaki alanlarla yıkım bölgesini ayrı erişim ve çalışma zamanlarıyla yönetin; sınırdaki değişiklikleri günlük saha toplantısında ele alın.
R-15-01|Yangın, yanık ve duman zehirlenmesi|elimination|administrative|Sıcak iş izninde kıvılcımın gidebileceği alt ve karşı alanları kontrol edin; gözcüyü uygun söndürücüyle görevlendirin.
R-15-02|Gecikmeli yangın ve duman zehirlenmesi|administrative|engineering|Isı geçebilen boşlukları yanmaz korumayla ayırın; iş sonrası kontrol süresini malzeme ve gizli hacimlere göre belirleyin.
R-15-03|Kap patlaması, ağır yanık ve ölüm|elimination|administrative|Boş kabı temiz ve gazsız kabul etmeyin; güvenli hazırlık belgelenemiyorsa soğuk kesim dahil yöntemi uzman değerlendirmesine yönlendirin.
R-15-04|Ark gözü, göz hasarı ve cilt yanığı|engineering|ppe|Kaynak türüne uygun filtre derecesi ve yüz koruyucu seçin; çevredeki kişiler için de ışınım perdesinin sürekliliğini sağlayın.
R-15-05|Solunum hastalığı ve metal dumanına bağlı toksik etkiler|engineering|administrative|Emiş ağzını dumanın solunum bölgesine ulaşmasını önleyecek konumda tutun; kaplama ve kaynak sarf malzemesine göre maruziyeti değerlendirin.
R-15-06|Elektrik çarpması ve ölüm|engineering|administrative|Kaynak dönüş bağlantısını güvenli ve sağlam noktaya yapın; dar ve iletken hacimlerde ek elektriksel tedbirleri yetkin kişiye belirletin.
R-15-07|Gaz alevinin geri ilerlemesi, yanık ve patlama|engineering|administrative|Hortum, regülatör ve geri tepme güvenlik donanımını sistem uyumuyla kontrol edin; uygunsuz bağlantı adaptörleri kullanmayın.
R-15-08|Gaz yangını, patlama ve yanık|engineering|administrative|Kaçak aramasında alev kullanmayın; hasarlı hortumu bantlayarak sürdürmek yerine hizmet dışı bırakın.
R-15-09|Toksik metal ve kaplama dumanına bağlı zehirlenme|substitution|engineering|Malzemeye uygun kaplama giderme ve emiş yöntemini seçin; bilinmeyen kaplamalı parçayı açık üretim alanında ısıtmayın.
R-15-10|Kapalı hacimde zehirlenme, boğulma ve patlama|administrative|engineering|Gaz tüplerini kapalı hacim dışında konumlandırın; iş kesintisinde kaçak beslemesini önleyen izolasyon düzeni kurun.
R-15-11|Sıcak parçaya bağlı göz ve cilt yanığı|engineering|administrative|Alt seviyeyi yalnızca uyarı levhasıyla açık bırakmayın; sıcak iş bitene ve parçalar soğuyana kadar erişimi kapatın.
R-15-12|Kor atıktan başlayan yangın ve duman maruziyeti|administrative|engineering|Sıcak atığı uyumlu yanmaz kapta ayrı tutun; yangın yüküne karıştırmadan soğuduğunu kontrol edin.
R-16-01|Kap yırtılmasıyla parça fırlaması ve ölüm|administrative|engineering|Tahliye ve kondens giderme düzenini çalışır tutun; izin verilen basıncı ekipman üzerine okunaklı biçimde işaretleyin.
R-16-02|Basınçlı sistem patlaması ve çoklu yaralanma|engineering|administrative|Emniyet elemanının önüne kapalı vana bırakılmasını önleyen düzen kurun; test ve ayarları yetkin servise yaptırın.
R-16-03|Buhar yanığı ve ölüm|engineering|administrative|Kaçak bölgesini görsel buhara yaklaşmadan ayırın; hattın soğuduğu ve basıncının düştüğü teyit edilmeden bağlantı sökmeyin.
R-16-04|Savrulan hortum darbesi ve kırık|engineering|administrative|Bağlantıları hat basıncına göre eşleştirin; söküm öncesi hortumun iki tarafındaki hapsolmuş basıncı giderin.
R-16-05|Fırlayan bağlantı ve kap yırtılmasıyla ölüm|administrative|engineering|Test ortamının enerji düzeyini teknik planla sınırlandırın; gözlemi korumalı veya uzaktan noktadan yapın.
R-16-06|Ani buhar salımı, haşlanma ve ölüm|engineering|administrative|Kapak kilidini atlayarak çevrim kısaltmayı yasaklayın; güvenlik işlevlerini üretici bakım prosedüründe sınayın.
R-16-07|İçe çöken kap parçalarıyla kesilme ve ezilme|engineering|administrative|Kabın vakum sınırını tasarım belgesinden doğrulayın; onaysız cam veya ince cidarlı kapları sisteme bağlamayın.
R-16-08|Cilt altı enjeksiyon, doku kaybı ve uzuv kaybı|elimination|administrative|Enjeksiyon şüphesini küçük yara gibi değerlendirmeyin; basınçlı akışkan bilgisini sağlık ekibine ileterek acil tıbbi yardım çağırın.
R-16-09|Hat kopması ve basınçlı akışkan yaralanması|engineering|administrative|Vana açma kapama hızını işletme talimatına bağlayın; vuruntu gözlendiğinde sistemi teknik incelemeye alın.
R-16-10|Basınçlı hat yırtılmasında parça çarpması, yaralanma ve akışkan yanığı|engineering|administrative|Bakım sonrası termal tahliye hattının açık ve doğru yere bağlı olduğunu kontrol edin; izole sıvı hacmini kayıt altına alın.
R-16-11|Kazan hasarı, patlama ve ağır yanık|engineering|administrative|Düşük su seviyesi korumasını devre dışı bırakmayın; yeniden çalıştırmayı yetkin kazancı ve teknik servis değerlendirmesine bağlayın.
R-16-12|Bileşen kırılması ve basınçlı akışkanla yaralanma|engineering|administrative|Yedek parçada yalnız çapı değil basınç, sıcaklık ve kimyasal uyumluluk belgesini de kontrol edin.
R-17-01|Vana kopması, tüp fırlaması ve ölüm|engineering|administrative|Tüpleri vanadan kaldırmayın; kullanılmadığında üreticinin öngördüğü vana korumasını takıp uygun arabayla taşıyın.
R-17-02|Oksijen zengin ortamda şiddetli yanık|engineering|administrative|Oksijen ekipmanına sıradan yağlayıcı sürmeyin; bağlantı temizliğini ve uygun malzeme kullanımını teslim kontrolüne ekleyin.
R-17-03|LPG yangını, patlama ve ölüm|engineering|administrative|Çukur ve bodrum bağlantılarını kaçak senaryosuna dahil edin; gaz kokusunda elektrik anahtarlarını işletmeden güvenli alana çıkın.
R-17-04|Oksijen azalmasıyla bilinç kaybı ve ölüm|engineering|administrative|Alarm halinde içeri kurtarma amacıyla kontrolsüz giriş yapılmamasını öğretin; beslemeyi yalnız güvenli uzak noktadan yetkili kişi kessin.
R-17-05|CO₂ maruziyeti, boğulma ve ölüm|engineering|administrative|Boşalma öncesi alarm ve gecikme düzenini sistem tasarımıyla doğrulayın; yeniden girişi atmosfer kontrolüne bağlayın.
R-17-06|Amonyak inhalasyonu, kimyasal yanık ve ölüm|engineering|administrative|Kaçak sınırını ve dış yardım çağrı ölçütünü acil plana ekleyin; eğitimsiz çalışanı vanaya ulaşmak için gaz bölgesine göndermeyin.
R-17-07|Klor inhalasyonu ve ağır solunum hasarı|engineering|administrative|Tüp değişiminde uygun bağlantı ve kaçak testini eğitimli ekip yapsın; rüzgâr ve bina emiş noktalarını senaryoda değerlendirin.
R-17-08|Soğuk yanığı ve göz hasarı|engineering|ppe|Kriyojenik işlem için seçilmiş yüz siperi ve el korumasını kullanın; sıvının giysi ve ayakkabı içine dolmasını önleyen çalışma konumu kurun.
R-17-09|Kriyojenik kap patlaması ve parça yaralanması|engineering|administrative|Tahliye ağzını buzlanma ve tıkanma yönünden izleyin; kriyojeni kapalı sıradan termosta veya tahliyesiz kapta tutmayın.
R-17-10|Gaz salımı, basınç yaralanması ve yangın|engineering|administrative|Regülatör etiketini gaz ve çıkış basıncıyla eşleştirin; uyumsuz dişi zorlayarak veya adaptörle bağlamayın.
R-17-11|Araç içinde boğulma, yangın ve çarpışma yaralanması|engineering|administrative|Yükleme sonrası vana kapanmasını kontrol edin; taşınan gaza göre araç ve taşıma mevzuatını ayrıca değerlendirin.
R-17-12|Tüp ayrışmasıyla patlama, ağır yanık ve ölüm|administrative|administrative|Isınmış veya yangına maruz tüpü taşımayın; tüp türü ve konumunu güvenli mesafeden acil müdahale ekibine bildirin.
R-18-01|Kimyasal göz yanığı ve görme kaybı|engineering|engineering|Maddeye uygun acil göz yıkama erişimini açık tutun; dolum ağzını yüz hizasından uzaklaştırın.
R-18-02|Solvent inhalasyonuna bağlı akut ve kronik sağlık etkileri|engineering|substitution|Proses uygunluğunu değerlendirerek daha düşük uçuculuk veya toksisiteye sahip ürüne geçin; açık kap bekletme süresini azaltın.
R-18-03|Alerjik dermatit ve kalıcı duyarlanma|engineering|ppe|Eldiveni kimyasal geçirgenlik verisine göre seçin; kirlenmiş eldivenin cildi ve ortak yüzeyleri kirletmesini önleyen değiştirme düzeni kurun.
R-18-04|Yanlış ürün kullanımına bağlı yanık, zehirlenme ve reaksiyon|engineering|administrative|İkincil kapta ürün adı ve ilgili tehlike bilgisini koruyun; etiketi kayıp ürünü tahmin ederek kullanmayın.
R-18-05|Kimyasal yutma ve ağır zehirlenme|elimination|administrative|Kimyasal depolamayla yeme içme alanını ayırın; uygunsuz kaba aktarımı tedarik ve dolum talimatında engelleyin.
R-18-06|Hortum yırtılmasıyla sıçrama ve kimyasal yanık|engineering|administrative|Hortum değişim süresini kullanım koşullarına bağlayın; şişme, sertleşme veya çatlak görülen hortumu derhal ayırın.
R-18-07|Kimyasal maruziyet, düşme ve çevreye yayılım|engineering|administrative|Dolum öncesi tank boş kapasitesini kontrol edin; gözetimsiz transferi önleyen durdurma ve taşma yanıtı tanımlayın.
R-18-08|Ekzotermik sıçrama, göz ve cilt yanığı|engineering|administrative|Karışım sırasını GBF ve proses talimatından alın; genelleştirilmiş kimyasal karıştırma reçetesi kullanmayın.
R-18-09|Toksik gaz solunması ve solunum hasarı|engineering|administrative|Asitli ve klorlu temizlik ürünlerini ayrı saklayın; aynı yüzeye ardışık uygulamada üreticinin durulama talimatını izleyin.
R-18-10|Kimyasal aerosole bağlı solunum hastalığı ve göz irritasyonu|engineering|substitution|Uygun işlerde püskürtme yerine düşük yayılımlı uygulama seçin; emiş etkinliği ve filtre bakımını izleyin.
R-18-11|Atık buharına bağlı zehirlenme ve yangın|engineering|administrative|Atıkları uyumluluk gruplarıyla etiketleyin; reaksiyon oluşturabilecek farklı atıkları aynı kaba biriktirmeyin.
R-18-12|Uygunsuz müdahalede reaksiyon ve kimyasal yanık|administrative|engineering|Kiti kimyasalın GBF bilgisindeki uyumsuzluklara göre seçin; miktar veya madde bilinmiyorsa alanı ayırıp uzman yardım çağırın.
R-19-01|Reaksiyon kaçışı, kap yırtılması ve çoklu ölüm|engineering|administrative|Proses tehlike çalışmasında sıcaklık, basınç ve besleme sapmalarını birlikte ele alın; koruma işlevlerini kontrollü test programına bağlayın.
R-19-02|Uyumsuz reaksiyon, patlama ve zehirlenme|engineering|administrative|Hammadde kabul ve yükleme öncesi parti kimliğini kontrol edin; reçete değişikliğini değişiklik yönetimi sürecine alın.
R-19-03|Reaksiyon kaçışı ve ağır yanık|engineering|administrative|Soğutma kaybındaki duruş sırasını proses tasarımcısına belirletin; genel amaçlı acil duruşun tek başına güvenli olduğunu varsaymayın.
R-19-04|Reaksiyon kaçışında basınç etkisi, ağır yanık ve ölüm|engineering|administrative|Karıştırıcı arızasında besleme devamını proses güvenliği incelemesine göre kilitleyin; yeniden başlatmadan birikmiş malzemeyi değerlendirin.
R-19-05|Toksik gazla zehirlenme, yangın yanığı ve ölüm|engineering|administrative|Uyumluluk tablosunu gerçek kimyasal envanterle güncelleyin; ortak drenajın ayrı havuzları yeniden birleştirmediğini kontrol edin.
R-19-06|Kararsızlaşmış kimyasalda patlama ve ağır yaralanma|administrative|elimination|Süresi veya durumu belirsiz kabı açmayın ya da taşımayın; yetkin bertaraf hizmetiyle güvenli uzaklaştırma planlayın.
R-19-07|Nem temasıyla ısı, yanıcı gaz ve kimyasal yanık|engineering|administrative|Su ile müdahaleyi otomatik tercih etmeyin; depolama ve yangın planını maddenin uyumsuzluk bilgisine göre hazırlayın.
R-19-08|Şiddetlenen yangın ve patlamada ağır yanık, parça yaralanması ve ölüm|engineering|administrative|Oksitleyici döküntüsünü yanıcı emiciyle toplamayı önleyin; taşıma ekipmanı ve temizlik malzemesinin uyumluluğunu kontrol edin.
R-19-09|Basınçlı sıcak madde salımında yanık ve parça çarpmasıyla yaralanma|engineering|administrative|Bekleme ve duruşlarda polimerleşme koşullarını proses verisiyle izleyin; tıkanmış hattı plansız ısıtma veya basınçla açmayın.
R-19-10|Piroforik tutuşma, yangın ve yanık|engineering|administrative|Katalizörün hava ile temas sınırını üreticiden doğrulayın; boşaltma ve atık saklamayı aynı inertlik planına dahil edin.
R-19-11|Tahliye akışkanına bağlı zehirlenme ve yanık|engineering|administrative|Çıkış yönünü yaya yolları, hava emişleri ve komşu alanlarla karşılaştırın; tahliye hattı değişikliğinde risk değerlendirmesini yenileyin.
R-19-12|Proses sapmasının ağırlaşmasıyla yanık, zehirlenme ve çoklu yaralanma|engineering|administrative|Alarm seli sırasında operatörün ilk eylemlerini senaryo ile çalışın; alarm susturmayı koruma işlevini devre dışı bırakmaya dönüştürmeyin.
R-20-01|Yangın, yanık ve duman zehirlenmesi|engineering|administrative|Yanıcı atık için boşaltma sıklığını üretim hızına göre belirleyin; çıkış ve elektrik panosu çevresini depolama yeri olarak kullanmayın.
R-20-02|Dumanın kaçış yoluna yayılması ve ölüm|engineering|administrative|Yangın kapısını kama ile açık tutmayı önleyin; tutucu gerekiyorsa alarmda kapanan uygun sistem kullanın.
R-20-03|Bölmeler arasında yangın ve duman yayılması|engineering|administrative|Yeni kablo ve boru geçişlerinden sonra yangın durdurucu bütünlüğünü kayıtlı kontrol edin; sıradan köpüğü uygun sistem yerine kullanmayın.
R-20-04|Mutfak yangını, yanık ve duman maruziyeti|engineering|administrative|Davlumbaz ve kanalı yağ yüküne göre temizletin; yağ yangınında su kullanmama kuralını mutfak ekibine öğretin.
R-20-05|Isıtıcı kaynaklı yangın ve yanık|engineering|administrative|Taşınabilir ısıtıcı kullanımını görevli iznine bağlayın; çevresinde yanıcı malzeme ve uzatma kablosu yığılmasını önleyin.
R-20-06|Yangında duman zehirlenmesi ve yanık; patlamada ağır yaralanma|engineering|administrative|İzmaritleri uygun yanmaz kapta toplayın; sigara alanının gaz, yakıt ve yanıcı atık noktalarından güvenli ayrıldığını kontrol edin.
R-20-07|Sürtünme kaynaklı yangın ve duman maruziyeti|engineering|administrative|Rulman sıcaklığı ve anormal ses değişimlerini duruş ölçütüne bağlayın; çevredeki toz ve yanıcı birikimini temizleyin.
R-20-08|Solvent yangını, ağır yanık ve duman zehirlenmesi|engineering|administrative|Günlük kullanım miktarı ile yedek stoğu ayırın; depolamanın tutuşturucu kaynak ve kaçış yoluyla ilişkisini kontrol edin.
R-20-09|Geciken algılama nedeniyle yangının büyümesi ve ölüm|administrative|engineering|Devre dışı kalan bölge için uygun geçici izleme sağlayın; arıza kapatılmadan koruma sisteminin çalıştığını varsaymayın.
R-20-10|Büyüyen yangında yanık, duman zehirlenmesi ve ölüm|engineering|administrative|İstif yüksekliğini ve başlık çevresi boşluğunu depo planında işaretleyin; raf değişikliklerinde sistem tasarımına uygunluğu yeniden inceletin.
R-20-11|Müdahale gecikmesi nedeniyle ağır yangın ve ölüm|administrative|administrative|Kesinti süresince sıcak iş ve yangın yükünü kısıtlayın; ilgili birimlere koruma kaybını ve yeniden devreye alınmayı bildirin.
R-20-12|Komşu yangından duman, ısı ve yanık maruziyeti|engineering|administrative|Komşu işletmeyle haberleşme ve alternatif tahliye yönünü belirleyin; dış yangın sırasında hava emişlerinin yönetimini plana ekleyin.
R-21-01|Toz patlaması, yanık ve çoklu ölüm|engineering|administrative|Tozun patlama özelliklerini temsilî malzeme verisiyle belirleyin; koruma donanımının bakımını ve tahliye yönünü PKD ile ilişkilendirin.
R-21-02|Silo patlaması ve ağır yaralanma|engineering|administrative|Dolum sırasında toz yayılımını gözleyin; yanıcı toz bulunan hacimlerde uygunsuz elektrikli temizlik cihazı kullanmayın.
R-21-03|Solvent yangını ve patlamasında ağır yanık ve ölüm|engineering|administrative|Eşpotansiyel bağlantıyı transfer başlamadan kurup sürekliliğini uygun yöntemle kontrol edin; malzeme ve akışa özgü transfer sınırlarını izleyin.
R-21-04|Ateşleme kaynaklı patlama ve ölüm|engineering|administrative|Ekipman uygunluğunu yalnız Ex işaretiyle değil bölge, gaz/toz grubu ve sıcaklık gereklilikleriyle karşılaştırın.
R-21-05|Patlama tahliyesi önündeki kişide ağır yanık ve ölüm|engineering|administrative|Tahliye etki alanını depolama veya yaya yolu yapmayın; sonradan yapılan bina ve kanalları koruma tasarımına göre inceletin.
R-21-06|Zincirleme patlama ve çoklu ölüm|engineering|administrative|Bağlı kanalları ve prosesler arası geçişleri PKD kapsamına alın; izolasyon elemanlarını standart klape ile değiştirmeyin.
R-21-07|İkincil toz patlaması ve yaygın yapı hasarı|engineering|administrative|Kiriş ve kablo tavası üstleri dahil birikim noktalarını temizlik planına ekleyin; tozu basınçlı havayla havalandırmayın.
R-21-08|Fırın patlaması, yanık ve ölüm|engineering|administrative|Havalandırma kaybında besleme ve ısıtmayı güvenli duruma geçiren işlevi test edin; proses kapasitesini onaysız artırmayın.
R-21-09|Hidrojen patlaması ve ağır yanık|engineering|administrative|Şarj alanında kıvılcım kaynaklarını kontrol edin; kapalı hacimlerde havalandırmanın yalnız kapı açıklığına bağlı kalmamasını sağlayın.
R-21-10|Öğütücü veya filtre patlaması ve ölüm|engineering|administrative|Yabancı metal tespiti ve uzaklaştırmayı besleme öncesinde düzenleyin; sıcaklık veya kıvılcım alarmı sonrasında otomatik tekrar başlatmayın.
R-21-11|Yağ sisi yangını ve ağır yanık|engineering|administrative|Basınçlı yağ kaçağını sis oluşumu yönünden değerlendirin; kaçağa müdahalede hattı basınçsız bırakın.
R-21-12|Ex korumasının kaybıyla patlama ve ölüm|administrative|engineering|Conta, rakor, kapak ve bağlantı parçalarını koruma tipine uygun seçin; onarım sonrasında uygunluğu yetkin kişiye kontrol ettirin.
R-22-01|Silika maruziyetine bağlı silikozis ve akciğer kanseri|engineering|administrative|Kesim noktasındaki emiş veya suyun çalışmasını iş öncesi sınayın; kişisel maruziyet ölçümüyle tedbirlerin yeterliliğini değerlendirin.
R-22-02|Yoğun silika maruziyetiyle ağır akciğer hastalığı|substitution|engineering|Püskürtme kabinini diğer çalışanlardan ayırın; aşındırıcının daha az tehlikeli olması halinde bile oluşan iş parçası tozunu kontrol edin.
R-22-03|Ahşap tozuyla solunum hastalığı, duyarlanma ve bazı kanserler|engineering|administrative|Emiş hortumunun tıkanma ve kaçaklarını kontrol edin; tozu kuru süpürme yerine uygun endüstriyel vakumla alın.
R-22-04|Un tozuna bağlı mesleki astım ve irritasyon|engineering|administrative|Çuvalı yüksekten dökmeyin; düşük düşme mesafeli boşaltma ve un serpme yerine düşük tozlu yöntem kullanın.
R-22-05|Metal dumanına bağlı solunum hasarı ve toksik etkiler|engineering|substitution|Proses ve sarf malzemesinin oluşturduğu dumanı tanımlayın; daha az duman oluşturan teknik seçenekleri kalite koşullarıyla birlikte değerlendirin.
R-22-06|Dizel egzozuna bağlı solunum hastalığı ve kanser riski|substitution|administrative|Kapalı alanda rölantiyi sınırlandırın; motor bakımını ve emisyonun çalışan solunum bölgesine taşınmasını izleyin.
R-22-07|Lif ve silika maruziyetine bağlı akciğer hastalığı|administrative|engineering|Sökülecek refrakterin bileşimini ve kullanımda değişimini araştırın; parçaları kırarak tozlaştırmadan kontrollü sökün ve paketleyin.
R-22-08|Solunum irritasyonu, dermatit ve kimyasal cilt yanığı|engineering|ppe|Ciltle temas eden çimentoyu giysi içinde tutmayın; uygun el koruması, yıkama ve temiz kıyafet erişimi sağlayın.
R-22-09|Lif ve toza bağlı göz, cilt ve solunum irritasyonu|engineering|administrative|Kesimi havalandırılan ayrılmış noktada yapın; kıyafete taşınan lifleri basınçlı hava ile temizlemeyin.
R-22-10|Yoğun toz inhalasyonu ve toksik maruziyet|engineering|administrative|Filtreyi açmadan sistemi durdurup güvenli duruma getirin; toz niteliğine göre kapalı atık aktarımı ve uygun kişisel koruma belirleyin.
R-22-11|Yeniden havalanan toza bağlı solunum maruziyeti|substitution|administrative|Giysi ve vücut temizliğinde de basınçlı havayı kullanmayın; vakum cihazını tozun yanıcılık ve filtreleme gereksinimine göre seçin.
R-22-12|İnce toz inhalasyonuna bağlı maddeye özgü sağlık hasarı|engineering|administrative|Parçacık boyutu, toksisite ve miktarı ayrı değerlendirin; nano veya özel fonksiyonel malzemede genel toz sınırını yeterli kabul etmeyin.
R-23-01|Kalıcı işitme kaybı ve çınlama|engineering|ppe|Kaynak azaltımı sonrasında kalan maruziyete göre kulak koruyucu seçin; çalışanların takma biçimini ve iletişim ihtiyacını değerlendirin.
R-23-02|Akustik travma ve kalıcı işitme kaybı|engineering|administrative|Darbe olayının tepe etkisini uygun ölçümle değerlendirin; sadece vardiya ortalamasına göre güvenli sonuç vermeyin.
R-23-03|Bel ve omurga rahatsızlıkları|engineering|administrative|Araç hızını zemin bozukluğu ve yükle uyumlu sınırlandırın; maruziyet süresini ve molaları gerçek sürüş görevine göre düzenleyin.
R-23-04|Isı bitkinliği, sıcak çarpması ve ölüm|engineering|administrative|Isıl yükü görev ve giysiyle birlikte değerlendirin; su, serinleme ve yeni çalışana uyum sürecini planlayın.
R-23-05|Soğuk stresi, donma ve beceri kaybına bağlı kaza|administrative|ppe|Giysiyi sıcaklık, nem ve hareket gereksinimine göre seçin; ıslanmış korumayı değiştirme ve ısınma olanağı sağlayın.
R-23-06|Tehlikenin seçilememesine bağlı çarpma ve sıkışma|engineering|administrative|Ölçümü görevin yapıldığı yüzeyde ve gerçek çalışma koşulunda yapın; arızalı armatürleri görev önceliğine göre değiştirin.
R-23-07|Görsel zorlanma ve tehlikeye geç tepki|engineering|administrative|Parlama kontrolünü farklı vardiya ve güneş koşullarında değerlendirin; operatörün görüş hattına parlak yansıtıcı yüzey yerleştirmeyin.
R-23-08|Dönen parçaya temasla uzuv kaybı|engineering|administrative|Dönen parçanın hızını güvenli göstergeyle izleyin; aydınlatma değişikliğinden sonra yanılsama oluşmadığını işletme koşullarında kontrol edin.
R-23-09|Kalıcı göz hasarı ve cilt yanığı|engineering|administrative|Lazer sınıfına uygun kontrollü alan ve bakım modu oluşturun; ışın yolundaki yansıtıcı malzemeleri ve yetkisiz erişimi kontrol edin.
R-23-10|UV maruziyetine bağlı göz ve cilt hasarı|engineering|administrative|Kapak açılınca ışınımın kesildiği işlevi kontrol edin; bakımda kaynak kapanmadan erişim sağlamayın.
R-23-11|Elektromanyetik alana bağlı maddeye ve kaynağa özgü sağlık etkileri|administrative|engineering|Erişim sınırını kaynak çalışırken yapılan değerlendirmeye göre belirleyin; implant konusunu sağlık verisini rapora taşımadan işyeri hekimine yönlendirin.
R-23-12|İyonlaştırıcı radyasyona bağlı doku hasarı ve kanser riski|administrative|engineering|Kaynak muhafazası, kilitleme ve erişim işlevlerini yetkili radyasyon güvenliği düzeninde kontrol edin; izinsiz kaynak müdahalesi yaptırmayın.
R-24-01|Bel incinmesi ve kas iskelet sistemi hasarı|engineering|administrative|Yükün ağırlığı kadar kavrama, taşıma mesafesi ve kaldırma yüksekliğini değerlendirin; ekip kaldırmasını mekanik yardımın yerine otomatik çözüm saymayın.
R-24-02|Bel ve omurga zorlanması|engineering|administrative|Malzeme akışını ayakla dönmeye izin verecek biçimde kurun; gövde sabitken yük çevirmeyi gerektiren istasyonları değiştirin.
R-24-03|Omuz ve boyun rahatsızlıkları|engineering|administrative|Alet ve parçayı omuz altında erişilebilir konuma alın; baş üstü işi kısa çevrimlerde farklı görevlerle dengeleyin.
R-24-04|Tendinit ve el bileği rahatsızlıkları|engineering|administrative|Kavrama kuvvetini iş parçası tutucusu ve keskin/uygun aletle azaltın; sadece eldiven vermekle riski kontrol edilmiş saymayın.
R-24-05|Bacak yorgunluğu, dolaşım ve bel rahatsızlıkları|engineering|administrative|Oturmaya izin veren iş organizasyonu kurun; uygun zemin desteğinin takılma veya kayma tehlikesi oluşturmamasını sağlayın.
R-24-06|Boyun, sırt ve el bileği rahatsızlıkları|engineering|administrative|Ekran işini düzenli kısa ara veya farklı görevle bölün; dizüstü bilgisayarda uzun çalışmada ayrı ekran ve giriş aygıtını değerlendirin.
R-24-07|Çalışanda bel yaralanması ve hastada düşme|engineering|administrative|Transfer yöntemini hastanın destek gereksinimi ve alan ölçülerine göre seçin; yardımcı cihazı kullanacak personelin uygulamalı eğitimini sağlayın.
R-24-08|Bel, omuz ve el bileği zorlanması|engineering|administrative|Tekerlekleri ve güzergâh eğimini kontrol edin; aşırı dolu arabayı daha fazla çalışanla zorlamak yerine yükü veya sistemi değiştirin.
